dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,GS-WBF,BLW,Agroscope,BBT,BWL,BWO,WEKO,ZIVI,SECO,ISCeco,SAS,KTI,SBFI
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480945877,AWK Group AG,15.4,SW-Pflege und HW Wartung,,10650.25,,,,,,,3942,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480007855,Unisys (Schweiz) AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,,286477.05,,162916.9,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480007855,Unisys (Schweiz) AG,15.4,SW-Pflege und HW Wartung,,,,,,,,,,69849.05,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480007855,Unisys (Schweiz) AG,15.2,Software inkl. Lizenzen,,,,,,,,41040.05,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480007855,Unisys (Schweiz) AG,15.1,Hardware,,,,,,,,,8586,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,481143691,Link Marketing Services AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,238569.6,,,,,,,,,,,311077.8
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,482808594,CSC Switzerland GmbH,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,,,540000,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,484075239,Wistar Informatik AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,42978.6,,,,,,,,,478076.9,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480788533,Agilent Technologies (Schweiz) AG Test- und Messgeräte,4.2,Maschinen und Apparate,,,417581.84,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480788533,Agilent Technologies (Schweiz) AG Test- und Messgeräte,5,Medizinische Produkte und Pharmabereich,,,37931.26,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480788533,Agilent Technologies (Schweiz) AG Test- und Messgeräte,3.2,Chemie,,,35492.8,,,,,,,,,,
