dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,GS-WBF,BLW,Agroscope,BLV,IVI,BBT,BWL,BWO,WEKO,ZIVI,SECO,ISCeco,SAS,KTI
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480232263,Elca Informatique SA,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,63753.25,,,,,,,,541528,60929.55,,127610.65
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480232263,Elca Informatique SA,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,,,,,,,,274876.1
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480232263,Elca Informatique SA,15.4,SW-Pflege und HW Wartung,,,19644.2,,,26136,,,,,113064.7,,,1471.5
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480232263,Elca Informatique SA,15.2,Software inkl. Lizenzen,,,,,,,,,,29095.2,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,482522427,Die Schweizerische Post Service Center Finanzen Mitte,14.1,Postdienste,29422.7,84052.65,185966.15,134147.7,577.55,152206.65,10765.5,35469,25961.65,245887.35,291151,95,,17095.5
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,482522427,Die Schweizerische Post Service Center Finanzen Mitte,6.1,"Transportdienstleistungen, Güter und Waren",2864.2,,,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,482453685,AF-Colenco AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,,,,,1045914.45,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480945877,AWK Group AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,419406.7,,,,,,,,,207586.75,192959,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480945877,AWK Group AG,15.4,SW-Pflege und HW Wartung,,118049.25,,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480945877,AWK Group AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,20700.55,,,,,,,,2376,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480945877,AWK Group AG,15.2,Software inkl. Lizenzen,,13950.4,,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480822068,Fabasoft CH Software AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,123930,,,,,2916,,,,,,626191.23,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480822068,Fabasoft CH Software AG,15.4,SW-Pflege und HW Wartung,50436,,,,,76302,,,,,,47790,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480822068,Fabasoft CH Software AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,29160,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480613780,RealStuff Informatik AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,,,,,,895129.65,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480794049,Compass Group (Schweiz) SA,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,,,,818183.7,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480794049,Compass Group (Schweiz) SA,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,266.5,,,9076,,,,,17957.8,2979,,319.15
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480155261,Intercooperation,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,,,,,844487.6,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,485983308,Ernst Basler + Partner AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,117531.65,,,,,722638.35,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,485286566,Topten International Services GmbH,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,,,,,835000,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,487348450,BfB Büro für Bildungsfragen AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,833575,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,483223603,Xtreme Consulting GmbH,15.4,SW-Pflege und HW Wartung,,,,,,,,,,,796348.11,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480162945,Innovation Process Technology AG IT-Beratung,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,132059.09,,,,,,,,,,479435.99,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480162945,Innovation Process Technology AG IT-Beratung,15.2,Software inkl. Lizenzen,,113966.33,,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480162945,Innovation Process Technology AG IT-Beratung,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,,,,,43960.6,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480162945,Innovation Process Technology AG IT-Beratung,15.4,SW-Pflege und HW Wartung,,,,,,,,,,,,17280,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480162945,Innovation Process Technology AG IT-Beratung,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,540,,,,,,,,,,540,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,482791659,Edorex Informatik AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,,,,,,750091.9,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480780782,Helvetas Schweizer Gesellschaft,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,,,,,698268.6,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480780782,Helvetas Schweizer Gesellschaft,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,600,,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,482705535,National Coalition Building Institute Schweiz,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,,,,684084,,,,
