dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,GS-EDI,EBG,BAR,BAK,MeteoSchweiz,BAG,BFS,BSV,SBF,NB
EDI,Eidgenössisches Departement des Innern,2012,480476258,Unique (Flughafen Zürich AG),6.1,"Transportdienstleistungen, Güter und Waren",,,,,1619.45,,,,,
EDI,Eidgenössisches Departement des Innern,2012,480476258,Unique (Flughafen Zürich AG),6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",,,,,,,,720,,
EDI,Eidgenössisches Departement des Innern,2012,480476258,Unique (Flughafen Zürich AG),22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,370.15,50,,,,
EDI,Eidgenössisches Departement des Innern,2012,480476258,Unique (Flughafen Zürich AG),19.3,"Zivile Bauten, Miete",,,,,32.4,,,,,
EDI,Eidgenössisches Departement des Innern,2012,480476258,Unique (Flughafen Zürich AG),4.2,Maschinen und Apparate,,,,,29.85,,,,,
EDI,Eidgenössisches Departement des Innern,2012,482761665,Edorex Informatik AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,557946.8,,,129922.45,
EDI,Eidgenössisches Departement des Innern,2012,482761665,Edorex Informatik AG,15.4,SW-Pflege und HW Wartung,,,,,,32245,54606.95,,,
EDI,Eidgenössisches Departement des Innern,2012,482761665,Edorex Informatik AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,44271.4,,,
EDI,Eidgenössisches Departement des Innern,2012,482761665,Edorex Informatik AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,2172,,,,
EDI,Eidgenössisches Departement des Innern,2012,480945877,AWK Group AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,17955,,108803.2,,283296.75,,63876.6,,,6000
EDI,Eidgenössisches Departement des Innern,2012,480945877,AWK Group AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,114879.6,,32767.2,,,
