dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,GS-WBF,BLW,Agroscope,BWL,BWO,WEKO,ZIVI,SECO,ISCeco,SAS,KTI,SBFI
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,480945877,AWK Group AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,,,,,,70156.8
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,481838001,APP Unternehmensberatung AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,53503.2,,,,,39085.2,35073,,246056.4,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,481838001,APP Unternehmensberatung AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,192477.6,,59605.2,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,485714864,Schweizerisches Rotes Kreuz Kanton Bern,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,603087,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,537631389,KPS Solutions GmbH,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,,298402.02,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,537631389,KPS Solutions GmbH,15.4,SW-Pflege und HW Wartung,,,,,,,,285953.2,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,480007855,Unisys (Schweiz) AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,279248,,104807.5,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,480007855,Unisys (Schweiz) AG,15.4,SW-Pflege und HW Wartung,,,8844.25,,,,,,87405.46,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,480007855,Unisys (Schweiz) AG,15.2,Software inkl. Lizenzen,,,,,,,57370.3,,12416.15,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,480007855,Unisys (Schweiz) AG,15.1,Hardware,,,,,,,14742,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,480007855,Unisys (Schweiz) AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,9504,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,484075239,Wistar Informatik AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,67813.2,,,,,,,142584.55,339635.35,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,487448672,Agogis,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,537828,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,482030918,mabuco GmbH,15.2,Software inkl. Lizenzen,,,,,,,417654.65,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,482030918,mabuco GmbH,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,118706.95,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,480672716,Mosimann Holzbau AG Holzbau,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,479542.4,,,,,,,23795.1,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,480672716,Mosimann Holzbau AG Holzbau,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,14341.7,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,480672716,Mosimann Holzbau AG Holzbau,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,5500,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,480672716,Mosimann Holzbau AG Holzbau,5,Medizinische Produkte und Pharmabereich,,,836.7,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,480672716,Mosimann Holzbau AG Holzbau,4.2,Maschinen und Apparate,,,497.9,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,482073371,ACE Project Services AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,193326.45,,,,218640.6,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,482073371,ACE Project Services AG,15.2,Software inkl. Lizenzen,,,,,,,109570.35,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,482837247,CURAVIVA Verband Heime u. Instituti Schweiz,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,501800,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,484005819,TeamWork Schweiz AG Informatik Dienstleistungen,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,,,,,374776.2,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,484005819,TeamWork Schweiz AG Informatik Dienstleistungen,15.4,SW-Pflege und HW Wartung,,,,,,,,,,,105174.72,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,484005819,TeamWork Schweiz AG Informatik Dienstleistungen,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,,,,,12707.28,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,482761665,Edorex Informatik AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,255360,,,,,,,,,,37452
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,482761665,Edorex Informatik AG,15.4,SW-Pflege und HW Wartung,,173210,,,,,,9933.75,,,,8935
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,488940040,CSS Assurance-maladie SA Agence régionale lémanique,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,,,,,,481853.1
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,482683088,Hans + Martin Hasler AG Bauunternehmung,19.2,"Zivile Bauten, Bauleistungen inkl.Honorare",,,450000,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2014,482683088,Hans + Martin Hasler AG Bauunternehmung,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,1077,,,,,,,,,
