dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,BAFU,ARE,GS-UVEK,BAV,BAZL,BFE,ASTRA,BAKOM,SUST,RegInfra
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,484696500,Implenia Bau AG,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,6973054.93,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,482008609,JetSolutions SA,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,6367479.24,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,480945877,AWK Group AG,15.2,Software inkl. Lizenzen,,,,,,,1503106.65,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,480945877,AWK Group AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,50884.2,,,,,,2280922.6,8640,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,480945877,AWK Group AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,281831.4,,,,,,,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,480945877,AWK Group AG,21.1,"Bauten Nationalstrassen, Honorare ohne weitere Bauleistungen",,,,,,,1381544.7,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,480945877,AWK Group AG,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,334176.2,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,480945877,AWK Group AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",73526.4,,,,,,,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,482540945,Steiner & Buschor Ingenieure und Planer AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,673214.45,17029.4,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,482540945,Steiner & Buschor Ingenieure und Planer AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,52193,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,482540945,Steiner & Buschor Ingenieure und Planer AG,21.1,"Bauten Nationalstrassen, Honorare ohne weitere Bauleistungen",,,,,,,47047.85,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,482540945,Steiner & Buschor Ingenieure und Planer AG,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,5087426.9,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,485983308,Ernst Basler + Partner AG,15.2,Software inkl. Lizenzen,,,,,,,2653320.85,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,485983308,Ernst Basler + Partner AG,15.4,SW-Pflege und HW Wartung,,,,,,,205286.4,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,485983308,Ernst Basler + Partner AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,1016471.4,57276.4,,120696.05,,227672.55,992027.05,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,485983308,Ernst Basler + Partner AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,3235.7,,,50000,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,485983308,Ernst Basler + Partner AG,21.1,"Bauten Nationalstrassen, Honorare ohne weitere Bauleistungen",,,,,,,190111.35,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,485983308,Ernst Basler + Partner AG,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,183197.65,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,485983308,Ernst Basler + Partner AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,,104569.05,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,480683648,Schweizerische Bundesbahnen SBB,2.1,Textilien,,,,240.4,,,,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,480683648,Schweizerische Bundesbahnen SBB,2.2,Bekleidung,,,,2489,,,,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,480683648,Schweizerische Bundesbahnen SBB,4.2,Maschinen und Apparate,,,,72.9,,,,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,480683648,Schweizerische Bundesbahnen SBB,6.1,"Transportdienstleistungen, Güter und Waren",,,,,,,,418.05,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,480683648,Schweizerische Bundesbahnen SBB,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",285820.25,82036.1,47337.25,385992.65,547228.05,249249,370506.5,270725.1,14062.6,37709.5
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,480683648,Schweizerische Bundesbahnen SBB,9.1,"Bundespublikationen, Drucksachen",,,,1657.8,,,,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,480683648,Schweizerische Bundesbahnen SBB,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,935.15,,,201977.57,,384.8,568.2,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,480683648,Schweizerische Bundesbahnen SBB,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,26158.15,,,,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,480683648,Schweizerische Bundesbahnen SBB,18.5,Sprach- und Übersetzungsdienstleistungen,,,,2672.65,,,,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,480683648,Schweizerische Bundesbahnen SBB,21.1,"Bauten Nationalstrassen, Honorare ohne weitere Bauleistungen",,,,,,,29112.25,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,480683648,Schweizerische Bundesbahnen SBB,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,2209084,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,480683648,Schweizerische Bundesbahnen SBB,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",210103.7,,,13021.1,1348.6,302998.55,502.2,972.35,166.25,989.1
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,480118392,Consortium U-ROM p/o Grisoni Zaugg SA,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,5281724.15,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,483409827,Zenklusen Bau AG Hoch + Tiefbauunternehmung,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,5246032.6,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,481517063,Emch+Berger WSB AG Ingenieure,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,81.6,,,,,,,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,481517063,Emch+Berger WSB AG Ingenieure,21.1,"Bauten Nationalstrassen, Honorare ohne weitere Bauleistungen",,,,,,,4544.88,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,481517063,Emch+Berger WSB AG Ingenieure,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,5144665.84,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,481517063,Emch+Berger WSB AG Ingenieure,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,,12206.2,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,484457734,Trivadis AG,15.2,Software inkl. Lizenzen,,,,,,,4928709.45,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,484457734,Trivadis AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,13122,,,,,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,480232263,Elca Informatique SA,15.2,Software inkl. Lizenzen,,,,,,,2678323,,,
