dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,GS-EDI,EBG,BAR,BAK,MeteoSchweiz,BAG,BFS,BSV,BLV,IVI,NB
EDI,Eidgenössisches Departement des Innern,2014,482758612,A eins Personal AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,777209.15,,,,,
EDI,Eidgenössisches Departement des Innern,2014,537708422,Seitenbau GmbH,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,171000,,,567174.5,,,,,,,
EDI,Eidgenössisches Departement des Innern,2014,537708422,Seitenbau GmbH,9.1,"Bundespublikationen, Drucksachen",,,,25200,,,,,,,
EDI,Eidgenössisches Departement des Innern,2014,537708422,Seitenbau GmbH,18.4,Informationsarbeit,,,,1200,,,,,,,
EDI,Eidgenössisches Departement des Innern,2014,728423943,European Dynamics,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,258638,,,,441106,,
EDI,Eidgenössisches Departement des Innern,2014,728423943,European Dynamics,15.2,Software inkl. Lizenzen,,,,,,,,,60208,,
EDI,Eidgenössisches Departement des Innern,2014,728423943,European Dynamics,15.4,SW-Pflege und HW Wartung,,,,,,,,,3266.25,,
EDI,Eidgenössisches Departement des Innern,2014,482522427,Swiss Post International Logistics AG / General Parcel,14.1,Postdienste,21809.3,11572.4,14082.4,252000.6,,234886.15,,76593.55,132409.85,1853.7,
EDI,Eidgenössisches Departement des Innern,2014,485613595,NextSoft GmbH,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,731851,,,,
EDI,Eidgenössisches Departement des Innern,2014,481087984,Interface Politikstudien Forschung Beratung GmbH,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,19991.9,,94716,,450466.3,,125000,,,
EDI,Eidgenössisches Departement des Innern,2014,481087984,Interface Politikstudien Forschung Beratung GmbH,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,30000,,,,,
EDI,Eidgenössisches Departement des Innern,2014,480498104,Meteolabor AG,4.2,Maschinen und Apparate,,,,,494934.95,,,,,,
EDI,Eidgenössisches Departement des Innern,2014,480498104,Meteolabor AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,181288.8,,,,,,
EDI,Eidgenössisches Departement des Innern,2014,480498104,Meteolabor AG,17.1,"DL Zivil: für  Bereitst., Betrieb, Unterhalt der Güter",,,,,35466.85,,,,,,
EDI,Eidgenössisches Departement des Innern,2014,482427916,SCIH Schweizerisches Tropeninstitut,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,693228.61,,,,,
EDI,Eidgenössisches Departement des Innern,2014,482427916,SCIH Schweizerisches Tropeninstitut,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,5979.5,2550,,,,
EDI,Eidgenössisches Departement des Innern,2014,482427916,SCIH Schweizerisches Tropeninstitut,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,1275,,,,,
