dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,GS-EDI,EBG,BAR,BAK,MeteoSchweiz,BAG,BFS,BSV,SBF,BVET,IVI,NB
EDI,Eidgenössisches Departement des Innern,2013,482461691,Sucht Info Schweiz,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,1211947.95,,,,,,
EDI,Eidgenössisches Departement des Innern,2013,482461691,Sucht Info Schweiz,18.4,Informationsarbeit,,,,,,26090,,,,,,
EDI,Eidgenössisches Departement des Innern,2013,482461691,Sucht Info Schweiz,18.5,Sprach- und Übersetzungsdienstleistungen,,,,,,2997.8,,,,,,
EDI,Eidgenössisches Departement des Innern,2013,482461691,Sucht Info Schweiz,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,760,,,,,,
EDI,Eidgenössisches Departement des Innern,2013,482461691,Sucht Info Schweiz,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,,190,,,,
EDI,Eidgenössisches Departement des Innern,2013,483791526,Universität Zürich Veterinärbakteriologie,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,,,,832433.55,,
EDI,Eidgenössisches Departement des Innern,2013,483791526,Universität Zürich Veterinärbakteriologie,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,,,,,366600,1797.1,
EDI,Eidgenössisches Departement des Innern,2013,483791526,Universität Zürich Veterinärbakteriologie,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,,,,20880.9,,
EDI,Eidgenössisches Departement des Innern,2013,483791526,Universität Zürich Veterinärbakteriologie,5,Medizinische Produkte und Pharmabereich,,,,,,,,,,,272.4,
EDI,Eidgenössisches Departement des Innern,2013,480193184,Gfk Switzerland AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,1159930.8,,,,,
EDI,Eidgenössisches Departement des Innern,2013,480193184,Gfk Switzerland AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,,605.8,,,,,
EDI,Eidgenössisches Departement des Innern,2013,480232263,Elca Informatique SA,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,720171.6,,,,,
EDI,Eidgenössisches Departement des Innern,2013,480232263,Elca Informatique SA,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,2274.5,,,5184,285352.45,,,,,
EDI,Eidgenössisches Departement des Innern,2013,480232263,Elca Informatique SA,15.4,SW-Pflege und HW Wartung,,,,,,,12888.55,,,,,114299.6
EDI,Eidgenössisches Departement des Innern,2013,480232263,Elca Informatique SA,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,18252,,,,,,,,
EDI,Eidgenössisches Departement des Innern,2013,487858045,Ors Service AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,1016219,,,,,,
EDI,Eidgenössisches Departement des Innern,2013,482761665,Edorex Informatik AG,15.4,SW-Pflege und HW Wartung,,,,,,720287.55,37836.35,,,,,
EDI,Eidgenössisches Departement des Innern,2013,482761665,Edorex Informatik AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,167688.75,,,495,,,
EDI,Eidgenössisches Departement des Innern,2013,482761665,Edorex Informatik AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,9797.75,,,,,
EDI,Eidgenössisches Departement des Innern,2013,482515538,Universität Basel Institut für Medienwissenschaften,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,796053.1,,80000,,,,
EDI,Eidgenössisches Departement des Innern,2013,482515538,Universität Basel Institut für Medienwissenschaften,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,1080.5,,,,,,
EDI,Eidgenössisches Departement des Innern,2013,317802882,Selex Sistemi Integrati GmbH,4.2,Maschinen und Apparate,,,,,720067.56,,,,,,,
EDI,Eidgenössisches Departement des Innern,2013,317802882,Selex Sistemi Integrati GmbH,17.1,"DL Zivil: für  Bereitst., Betrieb, Unterhalt der Güter",,,,,91082.4,,,,,,,
EDI,Eidgenössisches Departement des Innern,2013,317802882,Selex Sistemi Integrati GmbH,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,10140,,,,,,,
EDI,Eidgenössisches Departement des Innern,2013,480945877,AWK Group AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,9350.25,,185793.75,,446933.8,,,,,28501.2
EDI,Eidgenössisches Departement des Innern,2013,480945877,AWK Group AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,31350.85,,54791.1,,0,,,,,
EDI,Eidgenössisches Departement des Innern,2013,480945877,AWK Group AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,60839.1,,,,,,,
EDI,Eidgenössisches Departement des Innern,2013,485613595,NextSoft GmbH,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,782506.6,,,,,
EDI,Eidgenössisches Departement des Innern,2013,484597497,Born Informatik AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,109582.2,53568,,182012.25,,58479.4
EDI,Eidgenössisches Departement des Innern,2013,484597497,Born Informatik AG,15.4,SW-Pflege und HW Wartung,,,,,,,,330113.9,,38963.95,,
EDI,Eidgenössisches Departement des Innern,2013,484592105,"Universität Zürich, Finanzabteilung",22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,,,,,752644,,
EDI,Eidgenössisches Departement des Innern,2013,484592105,"Universität Zürich, Finanzabteilung",18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,,,,13076,,
EDI,Eidgenössisches Departement des Innern,2013,484592105,"Universität Zürich, Finanzabteilung",18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,,,,200,,
EDI,Eidgenössisches Departement des Innern,2013,480279509,Calani Interim,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,759252.15,,,,,
EDI,Eidgenössisches Departement des Innern,2013,480791909,Burson-Marsteller,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,755000,,,,,,
EDI,Eidgenössisches Departement des Innern,2013,482522427,Die Schweizerische Post Service Center Finanzen Mitte,14.1,Postdienste,14555.85,18503.9,14494.45,203700.7,,292161.2,,76524.55,3086.3,118084.49,830.6,
EDI,Eidgenössisches Departement des Innern,2013,480021380,AXAS AG Unternehmensberatung + Informatik,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,722179.1,,,,,
EDI,Eidgenössisches Departement des Innern,2013,482207235,AirPlus International AG,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",15566.1,4906.4,6973.5,46609.05,109288.78,241188.54,98235.95,51735.05,4272,75571.71,15176.47,27078.74
EDI,Eidgenössisches Departement des Innern,2013,482207235,AirPlus International AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,8226.4,-794.4,,,,,1008.3,,
EDI,Eidgenössisches Departement des Innern,2013,482207235,AirPlus International AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,3241.92,,,,,,
EDI,Eidgenössisches Departement des Innern,2013,482207235,AirPlus International AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,,,,616.8,,
EDI,Eidgenössisches Departement des Innern,2013,488131277,Manpower SA,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,498422.45,,,,,,
EDI,Eidgenössisches Departement des Innern,2013,488131277,Manpower SA,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,4009.3,,,,,,180483.25
EDI,Eidgenössisches Departement des Innern,2013,488131277,Manpower SA,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,,,,,,,21978.75
EDI,Eidgenössisches Departement des Innern,2013,481087984,Interface Politikstudien Forschung Beratung GmbH,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,1104.3,,,,497595,76071.8,30000,,,,
EDI,Eidgenössisches Departement des Innern,2013,481087984,Interface Politikstudien Forschung Beratung GmbH,18.4,Informationsarbeit,,,,,,42468.3,,,,,,
EDI,Eidgenössisches Departement des Innern,2013,480035893,Diso Solution AG Beratung und Informatiklösungen,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,421215,,,,,
EDI,Eidgenössisches Departement des Innern,2013,480035893,Diso Solution AG Beratung und Informatiklösungen,15.4,SW-Pflege und HW Wartung,,,,,,,112183.45,,,,,
EDI,Eidgenössisches Departement des Innern,2013,480035893,Diso Solution AG Beratung und Informatiklösungen,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,83880,3240,,,,
EDI,Eidgenössisches Departement des Innern,2013,480014468,Swisscom (Schweiz) AG,15.3,Telekommunikation,,,,,315588.48,,,,,,,
EDI,Eidgenössisches Departement des Innern,2013,480014468,Swisscom (Schweiz) AG,17.1,"DL Zivil: für  Bereitst., Betrieb, Unterhalt der Güter",,,,,181179.93,,,,,,,
EDI,Eidgenössisches Departement des Innern,2013,480014468,Swisscom (Schweiz) AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,106801.2,,,,,,
EDI,Eidgenössisches Departement des Innern,2013,480014468,Swisscom (Schweiz) AG,15.1,Hardware,,,,,12531.26,125,,,,,,
EDI,Eidgenössisches Departement des Innern,2013,480014468,Swisscom (Schweiz) AG,15.2,Software inkl. Lizenzen,,,,,2178.2,,,,,,,
EDI,Eidgenössisches Departement des Innern,2013,480014468,Swisscom (Schweiz) AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,708,,,,,,,,,
EDI,Eidgenössisches Departement des Innern,2013,480014468,Swisscom (Schweiz) AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,410.4,,,,,
EDI,Eidgenössisches Departement des Innern,2013,113680261,FACHVERBAND SUCHT,18.4,Informationsarbeit,,,,,,329035,,,,,,
EDI,Eidgenössisches Departement des Innern,2013,113680261,FACHVERBAND SUCHT,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,189118.6,,,,,,
EDI,Eidgenössisches Departement des Innern,2013,113680261,FACHVERBAND SUCHT,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,100000,,,,,,
