deptDe,year,idSupplier,intCategory,officeDe,amount
EDA,2011,482857377,18,1005 EDA,423380.48
EDA,2011,482857377,18,1005 EDA,18200
EDA,2011,487360646,17,1006 EDA,172968.55
EDA,2011,487360646,22,1006 EDA,114724.83
EDA,2011,487360646,15,1005 EDA,385.4
EDA,2011,487360646,15,1006 EDA,7683.6
EDA,2011,487360646,15,1097 Informatik EDA,98526.7
EDA,2011,487360646,15,1097 Informatik EDA,26623.1
EDA,2011,487360646,15,1097 Informatik EDA,14398.1
EDA,2011,485630771,18,1006 EDA,371768
EDA,2011,485630771,22,1006 EDA,50965.15
EDA,2011,298931585,7,1005 EDA,401204.1
EDA,2011,316909373,18,1006 EDA,321869
EDA,2011,316909373,22,1006 EDA,76059.18
EDA,2011,340347405,18,1006 EDA,369739.11
EDA,2011,340347405,22,1006 EDA,22010.56
EDA,2011,483508672,18,1097 Informatik EDA,326345.15
EDA,2011,483508672,18,1005 EDA,45178.8
EDA,2011,480907146,18,1005 EDA,362835.2
EDA,2011,480907146,22,1005 EDA,236.5
EDA,2011,480907146,22,1006 EDA,6625.7
EDA,2011,480907146,17,1006 EDA,1266.75
EDA,2011,485246297,18,1005 EDA,68039.75
EDA,2011,485246297,18,1006 EDA,278560.35
EDA,2011,485246297,18,1005 EDA,6000
EDA,2011,485246297,6,1006 EDA,5510
EDA,2011,485246297,22,1006 EDA,4307.9
EDA,2011,487349136,18,1006 EDA,280556.57
EDA,2011,487349136,22,1006 EDA,70430.65
EDA,2011,0,18,1005 EDA,13739284.9
EDA,2011,0,7,1005 EDA,20115.55
EDA,2011,0,10,1006 EDA,2973.65
EDA,2011,0,18,1097 Informatik EDA,5678817.17
EDA,2011,0,18,1006 EDA,9101650.67
EDA,2011,0,17,1006 EDA,1915846.54
EDA,2011,0,15,1005 EDA,2154.15
EDA,2011,0,9,1112 BRZ,3126.3
EDA,2011,0,18,1112 BRZ,44543.92
EDA,2011,0,22,1005 EDA,1366513.41
EDA,2011,0,7,1097 Informatik EDA,6384.55
EDA,2011,0,6,1006 EDA,3379628.22
EDA,2011,0,9,1006 EDA,145531.86
EDA,2011,0,7,1006 EDA,78696.65
EDA,2011,0,4,1005 EDA,89767.52
EDA,2011,0,1,1005 EDA,255717.75
EDA,2011,0,19,1005 EDA,63993.21
EDA,2011,0,22,1006 EDA,4772729.85
EDA,2011,0,22,1097 Informatik EDA,348556.25
EDA,2011,0,13,1005 EDA,18921.36
EDA,2011,0,15,1097 Informatik EDA,1835603.55
EDA,2011,0,22,1112 BRZ,14691.65
EDA,2011,0,9,1005 EDA,95726.16
EDA,2011,0,4,1097 Informatik EDA,58719.5
EDA,2011,0,6,1005 EDA,2951244.62
EDA,2011,0,15,1112 BRZ,95424.55
EDA,2011,0,13,1112 BRZ,1864.55
EDA,2011,0,15,1006 EDA,18370.0
EDA,2011,0,6,1097 Informatik EDA,282841.59
EDA,2011,0,14,1006 EDA,117364.6
EDA,2011,0,14,1005 EDA,199411.08
EDA,2011,0,6,1112 BRZ,758.85
EDA,2011,0,13,1006 EDA,39673.65
EDA,2011,0,9,1097 Informatik EDA,5558.67
EDA,2012,481726032,18,1006 EDA,9791914.46
EDA,2012,480301808,18,1006 EDA,8564604.66
EDA,2012,482207235,6,1005 EDA,1764649.59
EDA,2012,482207235,6,1006 EDA,3839422.27
EDA,2012,482207235,6,1005 EDA,1402447.38
EDA,2012,482207235,6,1097 Informatik EDA,96857.5
EDA,2012,482207235,18,1005 EDA,1152755.76
EDA,2012,482207235,18,1006 EDA,1050
EDA,2012,482207235,18,1005 EDA,177126.86
EDA,2012,482207235,19,1005 EDA,64250.6
EDA,2012,483156464,1,1006 EDA,7700977.75
EDA,2012,483961541,1,1006 EDA,5986414.3
EDA,2012,370246570,18,1006 EDA,3750000
